"","beta_hc","alpha.M","alpha.m","alpha","lambda_h.max1","lambda_h.max2","tcritical.lambda_h","delta_y","v","CU.extract_delay","IC.extract_perception_delay","P.extract_delay","ph_xval","ph_yval","ph_min","ph_s","S","K_o","a_gg","a_ge","gamma_hc","tcritical.Inv_Cum_extract","tcritical.Inv_Cum_goods","eta.Kextract_max","eta.Kextract_min","eta.Kextract_s","eta.Kgoods_max","eta.Kgoods_min","eta.Kgoods_s","markup.goods","markup.extract","nature_per_unit_physical_good"
"83",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"84",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"85",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"86",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"87",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"88",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"89",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"90",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"91",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"92",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"93",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"94",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"95",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
